epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.814,0.96038,3.33795,1.26747,0.37035,0.1298,0.23418,0.18339,0.47679,55.2472,0.63611,0.000363475,0.000363475,0.000363475
2,543.014,1.03091,2.83331,1.25474,0.24813,0.38746,0.23322,0.16511,0.59087,51.6431,0.73073,0.000726544,0.000726544,0.000726544
3,799.575,1.0336,2.65216,1.25388,0.1677,0.23095,0.12529,0.07454,0.74123,65.8376,0.92348,0.00108228,0.00108228,0.00108228
4,1046.1,1.09495,2.59786,1.27108,0.24773,0.48818,0.26308,0.1885,0.6091,86.0239,0.76418,0.001078,0.001078,0.001078
5,1324.96,1.08372,2.45576,1.28203,0.25448,0.33651,0.21563,0.15233,0.6167,46.2472,0.75,0.001067,0.001067,0.001067
6,1616.07,1.03639,2.43312,1.27415,0.26756,0.45318,0.29382,0.21011,0.57097,53.5398,0.7323,0.00105601,0.00105601,0.00105601
7,1894.07,1.02358,2.34868,1.22065,0.29649,0.51894,0.31151,0.23671,0.56077,80.6792,0.69541,0.00104501,0.00104501,0.00104501
8,2163.05,0.99332,2.12963,1.21884,0.36588,0.51557,0.3783,0.28428,0.52943,27.6193,0.6802,0.00103401,0.00103401,0.00103401
9,2437.39,1.01252,2.20052,1.22963,0.3383,0.45934,0.29932,0.20463,0.64044,36.8426,0.79814,0.00102301,0.00102301,0.00102301
10,2700.35,0.94349,2.02786,1.20242,0.4294,0.54767,0.42655,0.33373,0.51094,15.5376,0.68076,0.00101201,0.00101201,0.00101201
11,2962.71,0.94544,1.99852,1.18663,0.27966,0.53203,0.34528,0.25788,0.52865,21.2509,0.68686,0.00100101,0.00100101,0.00100101
12,3241.74,0.94572,1.92145,1.17388,0.37228,0.48034,0.39572,0.29341,0.55245,20.1627,0.71352,0.000990012,0.000990012,0.000990012
13,3495.71,0.93149,1.94773,1.18181,0.4397,0.593,0.47584,0.38679,0.43513,18.6957,0.60984,0.000979013,0.000979013,0.000979013
14,3752.33,0.87278,1.85542,1.15393,0.5006,0.50652,0.45034,0.3419,0.50007,13.2505,0.68118,0.000968014,0.000968014,0.000968014
15,4006.55,0.89731,1.82019,1.14291,0.4095,0.5164,0.39244,0.31084,0.47805,24.8616,0.6474,0.000957015,0.000957015,0.000957015
16,4259.84,0.83739,1.78358,1.13981,0.41463,0.60965,0.48825,0.39222,0.43332,19.1619,0.60977,0.000946016,0.000946016,0.000946016
17,4516.44,0.85185,1.74458,1.12724,0.46621,0.64253,0.49592,0.41646,0.40489,14.8499,0.59446,0.000935018,0.000935018,0.000935018
18,4772.57,0.8534,1.7107,1.14147,0.47515,0.58949,0.49531,0.39825,0.45301,10.0712,0.64712,0.000924019,0.000924019,0.000924019
19,5003.15,0.79261,1.65427,1.1103,0.47344,0.70174,0.52784,0.44152,0.40813,8.36568,0.59892,0.00091302,0.00091302,0.00091302
20,5235.6,0.82705,1.69013,1.12613,0.43729,0.58799,0.49677,0.40466,0.40786,14.101,0.5932,0.000902021,0.000902021,0.000902021
21,5468.17,0.83306,1.68041,1.12842,0.50177,0.62361,0.53327,0.44609,0.40201,7.19067,0.58545,0.000891022,0.000891022,0.000891022
22,5701.48,0.80267,1.68526,1.1264,0.47933,0.65376,0.54147,0.45471,0.37752,12.2049,0.57429,0.000880023,0.000880023,0.000880023
23,5933.55,0.78037,1.63227,1.09111,0.52976,0.62974,0.56033,0.4706,0.38804,9.29376,0.57722,0.000869024,0.000869024,0.000869024
24,6163.74,0.77429,1.59492,1.09422,0.4887,0.66881,0.53232,0.44659,0.37756,12.8283,0.56649,0.000858025,0.000858025,0.000858025
25,6394.36,0.76063,1.54901,1.07221,0.51148,0.71906,0.54169,0.46325,0.36168,4.8347,0.55928,0.000847026,0.000847026,0.000847026
26,6627.17,0.78934,1.58934,1.09275,0.53903,0.67828,0.56614,0.44791,0.40669,8.87278,0.61019,0.000836027,0.000836027,0.000836027
27,6856.58,0.74733,1.51843,1.06443,0.48267,0.72052,0.54449,0.44895,0.39446,10.7738,0.59143,0.000825029,0.000825029,0.000825029
28,7086.49,0.77194,1.51689,1.09195,0.54989,0.7208,0.60729,0.52589,0.34262,6.91677,0.54848,0.00081403,0.00081403,0.00081403
29,7318.34,0.75511,1.45087,1.07145,0.53859,0.67851,0.57147,0.47899,0.36325,6.45715,0.56131,0.000803031,0.000803031,0.000803031
30,7556.47,0.7256,1.48938,1.05825,0.53645,0.78442,0.63139,0.55117,0.33237,6.86793,0.5388,0.000792032,0.000792032,0.000792032
31,7787.73,0.71605,1.4355,1.04883,0.53675,0.75206,0.59755,0.51314,0.35894,4.46107,0.5456,0.000781033,0.000781033,0.000781033
32,8021.77,0.74696,1.43489,1.07543,0.57469,0.72292,0.62737,0.54386,0.34129,4.51722,0.55757,0.000770034,0.000770034,0.000770034
33,8256.56,0.71953,1.45873,1.05595,0.55751,0.77591,0.63901,0.56214,0.3239,4.11696,0.53424,0.000759035,0.000759035,0.000759035
34,8489.01,0.73071,1.40272,1.06915,0.57459,0.78592,0.63126,0.54403,0.34728,5.01922,0.54072,0.000748036,0.000748036,0.000748036
35,8730.92,0.72033,1.36122,1.04672,0.56923,0.76719,0.61569,0.54149,0.31943,3.95375,0.53009,0.000737037,0.000737037,0.000737037
36,8994.51,0.71589,1.38311,1.05734,0.57567,0.75906,0.62575,0.53985,0.33231,3.15777,0.53663,0.000726038,0.000726038,0.000726038
37,9257.73,0.70854,1.34556,1.05108,0.54585,0.81718,0.64585,0.56811,0.31518,8.3343,0.52832,0.00071504,0.00071504,0.00071504
38,9533.29,0.67609,1.29955,1.03711,0.57922,0.78652,0.67638,0.59895,0.30374,7.86629,0.52992,0.000704041,0.000704041,0.000704041
39,9819.15,0.66539,1.30335,1.03788,0.43854,0.74823,0.56606,0.50056,0.30901,4.70867,0.52717,0.000693042,0.000693042,0.000693042
40,10094.1,0.70139,1.39942,1.0695,0.58696,0.80514,0.64578,0.57449,0.29943,5.2056,0.51914,0.000682043,0.000682043,0.000682043
41,10359.4,0.63624,1.31005,1.02189,0.58583,0.80947,0.66893,0.58984,0.30072,3.46944,0.52133,0.000671044,0.000671044,0.000671044
42,10620.2,0.67441,1.32137,1.03154,0.57763,0.75616,0.64027,0.56323,0.32574,2.46473,0.54097,0.000660045,0.000660045,0.000660045
43,10880.9,0.65867,1.29838,1.02316,0.58829,0.81885,0.67916,0.60549,0.31075,5.02717,0.52496,0.000649046,0.000649046,0.000649046
44,11142.3,0.66224,1.27023,1.01925,0.5919,0.82433,0.69176,0.61224,0.30223,3.97377,0.52446,0.000638047,0.000638047,0.000638047
45,11403.8,0.66852,1.27668,1.03233,0.56594,0.8134,0.65069,0.57973,0.29996,2.77548,0.52281,0.000627048,0.000627048,0.000627048
46,11664.6,0.68065,1.27879,1.04361,0.61423,0.82758,0.69794,0.62841,0.28927,2.62173,0.51261,0.000616049,0.000616049,0.000616049
47,11926.4,0.61344,1.16187,1.00804,0.61569,0.83503,0.6932,0.61832,0.30076,2.21036,0.52071,0.000605051,0.000605051,0.000605051
48,12188.3,0.65147,1.22602,1.02515,0.65534,0.81419,0.74099,0.66993,0.28135,4.13816,0.50979,0.000594052,0.000594052,0.000594052
49,12449.5,0.61007,1.17846,1.00077,0.58256,0.82923,0.71423,0.64338,0.28348,2.06894,0.51534,0.000583053,0.000583053,0.000583053
50,12713.7,0.64614,1.23134,1.03338,0.6127,0.77478,0.69184,0.62498,0.28187,6.91131,0.51317,0.000572054,0.000572054,0.000572054
51,12978.9,0.61851,1.16575,1.01044,0.63973,0.80232,0.72462,0.64892,0.29569,2.41579,0.51885,0.000561055,0.000561055,0.000561055
52,13243.8,0.63439,1.18009,1.01611,0.65036,0.82025,0.75166,0.67423,0.28112,2.32355,0.51332,0.000550056,0.000550056,0.000550056
53,13504.4,0.6344,1.14221,0.99923,0.65138,0.77536,0.7499,0.67611,0.27497,1.73577,0.50807,0.000539057,0.000539057,0.000539057
54,13766.9,0.6264,1.16785,1.02095,0.63275,0.79712,0.72656,0.65035,0.29564,4.03547,0.51699,0.000528058,0.000528058,0.000528058
55,14028.8,0.63967,1.14779,1.00947,0.62742,0.82413,0.77595,0.70292,0.273,3.8117,0.50766,0.000517059,0.000517059,0.000517059
56,14290.7,0.61452,1.10998,1.00738,0.6373,0.79145,0.7544,0.68684,0.26839,7.30846,0.50299,0.00050606,0.00050606,0.00050606
57,14553.1,0.63024,1.10833,1.01874,0.69882,0.82427,0.79238,0.71561,0.27024,2.18995,0.50498,0.000495062,0.000495062,0.000495062
58,14816.9,0.5891,1.02692,0.99286,0.72458,0.79652,0.8122,0.74264,0.26269,1.55262,0.50033,0.000484063,0.000484063,0.000484063
59,15078.5,0.59297,1.0637,1.003,0.66156,0.79985,0.79504,0.71653,0.27952,3.42597,0.5081,0.000473064,0.000473064,0.000473064
60,15341.5,0.58327,1.04922,0.99238,0.73926,0.80319,0.82223,0.74789,0.26437,2.99851,0.50075,0.000462065,0.000462065,0.000462065
61,15604.6,0.59099,1.05714,0.98929,0.75876,0.82441,0.85238,0.7863,0.25126,2.60366,0.4962,0.000451066,0.000451066,0.000451066
